                                                                         file  Avg_wall_time_s  mean_fdr_bh_0.05  mean_power_bh_0.05  mean_fdr_by_0.05  mean_power_by_0.05  mean_fdr_bh_0.1  mean_power_bh_0.1  mean_fdr_by_0.1  mean_power_by_0.1  mean_fdr_lct_0.05  mean_power_lct_0.05  mean_fdr_lct_0.1  mean_power_lct_0.1  mean_fdr_lctb_0.05_B100  mean_power_lctb_0.05_B100  mean_fdr_lctb_0.1_B100  mean_power_lctb_0.1_B100    model     p    n1    n2  rho  block  reps  mean_fdr_lct_cai_liu_0.05  mean_power_lct_cai_liu_0.05  mean_fdr_lct_cai_liu_0.1  mean_power_lct_cai_liu_0.1  mean_fdr_lct_gaussian_0.05  mean_power_lct_gaussian_0.05  mean_fdr_lct_gaussian_0.1  mean_power_lct_gaussian_0.1  mean_fdr_lct_jackknife_0.05  mean_power_lct_jackknife_0.05  mean_fdr_lct_jackknife_0.1  mean_power_lct_jackknife_0.1
                   results/tables/power_gaussian_p250_n60_rho0.35_b20_R20.csv         8.977327          0.046667            0.003947          0.000000            0.000000         0.119561           0.010526         0.000000           0.000000           0.100000             0.000263          0.325000            0.000789                 0.050000                   0.000000                0.200000                  0.000263      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n60_rho0.3_b20_R20.csv         8.898498          0.010000            0.001053          0.000000            0.000526         0.180159           0.003947         0.000000           0.001053           0.050000             0.000263          0.225000            0.001579                 0.050000                   0.000263                0.150000                  0.000263      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n80_rho0.25_b20_R20.csv         8.984212          0.025000            0.000789          0.000000            0.000000         0.108333           0.001842         0.000000           0.000000           0.050000             0.000789          0.125000            0.001579                 0.025000                   0.000526                0.125000                  0.001053      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n80_rho0.2_b20_R20.csv         9.065356          0.000000            0.000000          0.000000            0.000000         0.025000           0.000263         0.000000           0.000000           0.075000             0.000263          0.075000            0.000263                 0.075000                   0.000263                0.075000                  0.000263      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n80_rho0.35_b20_R20.csv         8.894229          0.017994            0.020789          0.000000            0.002368         0.110665           0.033421         0.000000           0.003158           0.128333             0.003684          0.171786            0.009474                 0.091667                   0.001316                0.120000                  0.006579      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n80_rho0.3_b20_R20.csv         8.885550          0.000000            0.005526          0.000000            0.000000         0.064692           0.012105         0.000000           0.000526           0.091667             0.002368          0.165476            0.004211                 0.075000                   0.001579                0.108333                  0.002632      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n80_rho0.5_b20_R20.csv         1.532232          0.053778            0.319474          0.019584            0.111053         0.100837           0.415263         0.020365           0.156316           0.067623             0.093947          0.160087            0.175263                 0.042118                   0.071053                0.126420                  0.132368      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n80_rho0.6_b20_R20.csv         1.477046          0.051590            0.723421          0.008764            0.469474         0.102422           0.797895         0.010547           0.542895           0.075798             0.347895          0.135777            0.477105                 0.062630                   0.299737                0.104839                  0.421053      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n80_rho0.7_b20_R20.csv         1.436799          0.054098            0.961579          0.006089            0.870000         0.108886           0.975263         0.010842           0.908421           0.065581             0.656053          0.135640            0.761316                 0.052427                   0.613421                0.101759                  0.717895      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n80_rho0.8_b20_R20.csv         1.475457          0.054455            0.999211          0.004710            0.995526         0.107698           0.999737         0.010127           0.997632           0.067383             0.868947          0.128163            0.923684                 0.050579                   0.843158                0.104630                  0.904211      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                         results/tables/power_t_p250_n120_rho0.25_b20_R20.csv         9.059143          0.050000            0.000000          0.000000            0.000000         0.042857           0.000789         0.000000           0.000000           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                          results/tables/power_t_p250_n120_rho0.2_b20_R20.csv         9.058899          0.050000            0.000000          0.000000            0.000000         0.050000           0.000000         0.000000           0.000000           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                         results/tables/power_t_p250_n120_rho0.35_b20_R20.csv         9.006570          0.025000            0.030526          0.016667            0.001579         0.023684           0.065789         0.012500           0.004474           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                          results/tables/power_t_p250_n120_rho0.3_b20_R20.csv         9.018094          0.025000            0.003421          0.000000            0.000000         0.030000           0.005789         0.000000           0.000526           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
